"Civilian nominations, totaling",,516 (including,112,nominations,,,
carried over from the,first,"session),",disposed,of,as follows:,,
Confirmed ............................................................................ .,,,,,,,335
Unconfirmed. ........................................................................,,,,,,,170
Withdrawn ............................................................................,,,,,,,11
"Civilian nominations (lists), totaling 2,276 (including 10 nomina­",,,,,,,
"tions carried over from the first session), disposed of as fol­",,,,,,,
lows:,,,,,,,
Confirmed. ........................................................................... .,,,,,,,"2,022"
Unconfirmed ........................................................................ .,,,,,,,254
"Air Force nominations, totaling 15,304 (including 2,955 nomina­",,,,,,,
"tions carried over from the first session), disposed of as fol­",,,,,,,
lows:,,,,,,,
Confirmed. ............................................................................,,,,,,,"15,304"
"Army nominations, totaling 12,861 (including 2,361 nominations",,,,,,,
carried over from the,first,"session),",disposed,of,as follows:,,
Confirmed .............................................................................,,,,,,,"12,858"
Unconfirmed.........................................................................,,,,,,,2
Withdrawn ........................................................................... .,,,,,,,
"Navy nominations, totaling","10,205",(including,46,nominations,,,
carried over from the,first,"session),",disposed,of,as follows:,,
Confirmed. ............................................................................,,,,,,,"10,203"
Unconfirmed.........................................................................,,,,,,,1
Withdrawn ........................................................................... .,,,,,,,
"Marine Corps nominations, totaling 1,596 (including 10 nomina­",,,,,,,
"tions carried over from the first session), disposed of as fol­",,,,,,,
lows:,,,,,,,
Confirmed.............................................................................,,,,,,,"1,595"
"Unconfirmed ....................................................... , ........... ••···•",,,,,,,
,,Summary,,,,,
Total nominations carried over from the first session...................,,,,,,,"5,494"
Total nominations received this session........................................,,,,,,,"37,264"
Total confirmed ...........................................................................,,,,,,,"42,317"
Total unconfirmed........................................................................,,,,,,,428
Total withdrawn...........................................................................,,,,,,,13
